Student,Courses
Andrea Bradley,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic programming and constraints', 'Logic and Reasoning in Computer Science', 'Programming Paradigms', 'Fundamentals of Computer Vision', 'Introduction to Programming 1', 'Abstract Machines', 'Introduction to Visual Computing'}"
Teodoro Floyd,"{'Argumentation and Proof', 'Parallel Computing', 'Logic for Knowledge Representation', 'Creative Media Production', 'Introduction to Programming 1', 'Multimedia', 'Introduction to Visual Computing'}"
Claude Lyons,"{'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Logic for Knowledge Representation', 'Creative Media Production', 'Fundamentals of Computer Vision'}"
Lee Evans,"{'Computermusic', 'Computer Systems', 'Introduction to Machine Learning', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Fundamentals of Digital Systems'}"
Shirley Gilbert,"{'Operating Systems', 'Efficient Algorithms', 'Parallel Computing', 'Computermusic', 'Logic programming and constraints', 'Introduction to Programming 1', 'Algorithms and Data Structures'}"
Mai Hammond,"{'Computermusic', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Computer Graphics', 'Fundamentals of Digital Systems'}"
Paul Park,"{'Introduction to Programming 1', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Fundamentals of Digital Systems'}"
Brigitte Giles,"{'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Multimedia', 'Fundamentals of Digital Systems'}"
Faith Olson,"{'Operating Systems', 'Logic and Reasoning in Computer Science', 'Multimedia', 'Functional Programming'}"
Helene Mack,"{'Fundamentals of Computer Vision', 'Introduction to Artificial Intelligence', 'Algorithms and Data Structures', 'Efficient Algorithms'}"
Bonnie Moyer,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Fundamentals of Digital Systems'}"
Genevieve Welch,"{'Logic for Knowledge Representation', 'Functional Programming', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Multimedia'}"
Domingo Rojas,"{'Efficient Algorithms', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic programming and constraints', 'Introduction to Programming 2', 'Algorithms and Data Structures'}"
Katherine Shepherd,"{'Computermusic', 'Efficient Algorithms', 'Creative Media Production', 'Logic for Knowledge Representation'}"
Briana Ferrell,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic and Foundations of Mathematics', 'Multimedia', 'Introduction to Visual Computing'}"
Johnathan Buchanan,"{'Introduction to Programming 1', 'Audio and Video Production', 'Logic programming and constraints', 'Abstract Machines'}"
Terry Stanton,"{'Efficient Algorithms', 'Parallel Computing', 'Introduction to Visual Computing', 'Computermusic', 'Computer Systems', 'Creative Media Production', 'Fundamentals of Digital Systems'}"
Marco Dougherty,"{'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Logic programming and constraints', 'Fundamentals of Computer Vision', 'Logic and Foundations of Mathematics', 'Introduction to Visual Computing'}"
Rosetta Short,"{'Efficient Algorithms', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic and Reasoning in Computer Science', 'Programming Paradigms', 'Functional Programming', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics'}"
Mallory Harper,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Introduction to Programming 1', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Matt Beard,"{'Operating Systems', 'Logic and Reasoning in Computer Science', 'Logic programming and constraints', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Multimedia'}"
Jessie Bauer,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Logic programming and constraints', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning'}"
Irvin Rice,"{'Computermusic', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Functional Programming', 'Fundamentals of Computer Vision', 'Fundamentals of Computer Graphics'}"
Alfred Rich,"{'Operating Systems', 'Logic for Knowledge Representation', 'Computermusic', 'Logic and Reasoning in Computer Science', 'Logic and Foundations of Mathematics', 'Fundamentals of Digital Systems'}"
Frances Salas,"{'Argumentation and Proof', 'Efficient Algorithms', 'Parallel Computing', 'Logic for Knowledge Representation', 'Logic programming and constraints', 'Programming Paradigms', 'Abstract Machines', 'Logic and Foundations of Mathematics', 'Introduction to Visual Computing'}"
Lucien Monroe,"{'Parallel Computing', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic programming and constraints', 'Programming Paradigms', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Jewel Nolan,"{'Efficient Algorithms', 'Computermusic', 'Audio and Video Production', 'Functional Programming', 'Fundamentals of Computer Vision', 'Creative Media Production', 'Introduction to Programming 1', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics'}"
Stefanie Huang,"{'Fundamentals of Computer Vision', 'Introduction to Visual Computing', 'Programming Paradigms', 'Logic for Knowledge Representation'}"
Nadine Mckee,"{'Creative Media Production', 'Programming Paradigms', 'Introduction to Machine Learning'}"
Jason Williams,"{'Logic for Knowledge Representation', 'Computermusic', 'Logic programming and constraints', 'Introduction to Machine Learning', 'Fundamentals of Computer Graphics'}"
Rachel Santiago,"{'Efficient Algorithms', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Programming Paradigms', 'Functional Programming', 'Introduction to Visual Computing'}"
Jarrett Dodson,"{'Logic for Knowledge Representation', 'Computermusic', 'Audio and Video Production', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics'}"
Benito Cherry,"{'Introduction to Artificial Intelligence', 'Operating Systems', 'Efficient Algorithms', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Fundamentals of Digital Systems'}"
Pierre Galloway,"{'Introduction to Artificial Intelligence', 'Introduction to Visual Computing', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Logic and Foundations of Mathematics', 'Fundamentals of Digital Systems'}"
Dorian Barber,"{'Efficient Algorithms', 'Fundamentals of Digital Systems', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Programming Paradigms', 'Introduction to Programming 1', 'Abstract Machines', 'Introduction to Visual Computing'}"
Taylor Zamora,"{'Computermusic', 'Logic programming and constraints', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Joanna Wells,"{'Efficient Algorithms', 'Audio and Video Production', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Fundamentals of Computer Graphics', 'Fundamentals of Digital Systems'}"
Ida Barker,"{'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Fundamentals of Computer Graphics', 'Fundamentals of Digital Systems'}"
Fabian George,"{'Argumentation and Proof', 'Efficient Algorithms', 'Parallel Computing', 'Logic for Knowledge Representation', 'Computermusic', 'Functional Programming', 'Fundamentals of Computer Graphics'}"
Deirdre Rojas,"{'Computer Systems', 'Logic programming and constraints'}"
Alvaro Sweeney,"{'Efficient Algorithms', 'Operating Systems', 'Programming Paradigms', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning'}"
Roy Reese,"{'Efficient Algorithms', 'Parallel Computing', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Programming Paradigms', 'Introduction to Programming 1', 'Abstract Machines', 'Fundamentals of Computer Graphics', 'Fundamentals of Digital Systems'}"
Jewell Holt,"{'Audio and Video Production', 'Functional Programming', 'Creative Media Production', 'Introduction to Programming 2', 'Introduction to Visual Computing'}"
Quentin Ibarra,"{'Argumentation and Proof', 'Efficient Algorithms', 'Parallel Computing', 'Introduction to Machine Learning', 'Abstract Machines', 'Fundamentals of Digital Systems'}"
Alfonso Hayes,"{'Logic for Knowledge Representation', 'Computer Systems', 'Functional Programming', 'Introduction to Programming 1', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Jeannine Mckee,"{'Introduction to Artificial Intelligence', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics', 'Multimedia'}"
Claudine Morales,"{'Introduction to Artificial Intelligence', 'Parallel Computing', 'Introduction to Machine Learning', 'Abstract Machines', 'Multimedia', 'Fundamentals of Digital Systems', 'Algorithms and Data Structures'}"
Judith Choi,"{'Argumentation and Proof', 'Efficient Algorithms', 'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Functional Programming', 'Logic and Foundations of Mathematics', 'Fundamentals of Computer Graphics'}"
Thanh Villanueva,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics'}"
Beatrice Daniel,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Computer Systems', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Henrietta Watts,"{'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Computer Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Algorithms and Data Structures'}"
Brandon Sims,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Multimedia', 'Introduction to Visual Computing'}"
Renee Stanley,"{'Argumentation and Proof', 'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Introduction to Programming 1', 'Fundamentals of Digital Systems'}"
Lessie Tate,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Operating Systems', 'Functional Programming', 'Creative Media Production', 'Introduction to Programming 2'}"
Kasey Gardner,"{'Argumentation and Proof', 'Efficient Algorithms', 'Programming Paradigms', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Introduction to Visual Computing'}"
Lawanda Davila,"{'Operating Systems', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Multimedia'}"
Stefanie Warren,"{'Argumentation and Proof', 'Operating Systems', 'Efficient Algorithms', 'Logic for Knowledge Representation', 'Functional Programming', 'Fundamentals of Computer Vision'}"
Hannah Riley,"{'Efficient Algorithms', 'Operating Systems', 'Logic for Knowledge Representation', 'Computer Systems', 'Fundamentals of Computer Vision', 'Introduction to Programming 1', 'Abstract Machines', 'Fundamentals of Digital Systems'}"
Lizzie Simpson,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Abstract Machines', 'Logic and Foundations of Mathematics'}"
Oliver York,"{'Argumentation and Proof', 'Logic for Knowledge Representation', 'Logic programming and constraints', 'Programming Paradigms', 'Creative Media Production', 'Introduction to Programming 1', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Introduction to Visual Computing'}"
Kaitlin Ramirez,"{'Operating Systems', 'Parallel Computing', 'Computer Systems', 'Creative Media Production', 'Multimedia'}"
Vince Mcneil,"{'Argumentation and Proof', 'Fundamentals of Digital Systems', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Algorithms and Data Structures', 'Introduction to Visual Computing'}"
Lorene Santos,"{'Efficient Algorithms', 'Logic for Knowledge Representation', 'Computermusic', 'Computer Systems', 'Functional Programming', 'Introduction to Machine Learning', 'Creative Media Production', 'Abstract Machines'}"
Shana Cuevas,"{'Operating Systems', 'Computermusic', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Fundamentals of Computer Vision', 'Introduction to Programming 2'}"
Cary Hebert,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic programming and constraints', 'Introduction to Programming 1', 'Multimedia', 'Introduction to Visual Computing', 'Algorithms and Data Structures'}"
Ike Mullins,"{'Parallel Computing', 'Logic for Knowledge Representation', 'Computermusic', 'Computer Systems', 'Logic programming and constraints', 'Introduction to Machine Learning', 'Creative Media Production', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics'}"
Devon Irwin,"{'Logic for Knowledge Representation', 'Introduction to Visual Computing', 'Computermusic', 'Introduction to Machine Learning', 'Multimedia', 'Fundamentals of Digital Systems'}"
Ervin Bean,"{'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Functional Programming', 'Introduction to Machine Learning', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Introduction to Visual Computing'}"
Brendan Hahn,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Functional Programming', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Multimedia'}"
Nelda Maldonado,"{'Efficient Algorithms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Programming Paradigms', 'Functional Programming', 'Abstract Machines', 'Logic and Foundations of Mathematics', 'Fundamentals of Computer Graphics'}"
Kerri Fernandez,"{'Argumentation and Proof', 'Operating Systems', 'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Programming Paradigms', 'Introduction to Programming 1', 'Fundamentals of Digital Systems'}"
Priscilla Wilson,"{'Efficient Algorithms', 'Logic and Reasoning in Computer Science', 'Functional Programming', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics'}"
Oscar Eaton,"{'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Logic programming and constraints', 'Logic and Reasoning in Computer Science', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Multimedia'}"
Concetta Carlson,"{'Operating Systems', 'Logic for Knowledge Representation', 'Computermusic', 'Fundamentals of Computer Vision', 'Logic and Foundations of Mathematics', 'Fundamentals of Digital Systems'}"
Jimmie Brennan,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic for Knowledge Representation', 'Computer Systems', 'Functional Programming', 'Introduction to Programming 1', 'Introduction to Programming 2', 'Fundamentals of Computer Graphics', 'Algorithms and Data Structures'}"
Vito Wu,"{'Operating Systems', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Programming Paradigms', 'Introduction to Machine Learning', 'Fundamentals of Computer Vision', 'Introduction to Programming 2', 'Fundamentals of Digital Systems'}"
Dallas Mcconnell,"{'Efficient Algorithms', 'Programming Paradigms', 'Introduction to Machine Learning', 'Creative Media Production', 'Introduction to Visual Computing'}"
Troy Sheppard,"{'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic for Knowledge Representation', 'Functional Programming', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics'}"
Romeo Baldwin,"{'Operating Systems', 'Introduction to Artificial Intelligence', 'Audio and Video Production', 'Introduction to Machine Learning', 'Creative Media Production', 'Fundamentals of Computer Vision', 'Multimedia'}"
Terra Andrews,"{'Efficient Algorithms', 'Computer Systems', 'Programming Paradigms', 'Fundamentals of Computer Vision', 'Introduction to Machine Learning', 'Abstract Machines', 'Algorithms and Data Structures'}"
Rosemarie Larson,"{'Parallel Computing', 'Computer Systems', 'Programming Paradigms', 'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Multimedia'}"
Leigh Holmes,"{'Efficient Algorithms', 'Audio and Video Production', 'Programming Paradigms', 'Introduction to Programming 2', 'Algorithms and Data Structures'}"
Eliseo Hart,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Audio and Video Production', 'Introduction to Machine Learning', 'Fundamentals of Computer Vision', 'Abstract Machines', 'Introduction to Visual Computing'}"
Efrain Silva,"{'Introduction to Artificial Intelligence', 'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Foundations of Mathematics', 'Fundamentals of Computer Graphics'}"
